,x1,x2,x3,Result,Pesos Iniciais,Pesos Finais,Theta Inicial,Theta Final
0,-0.3665,0.062,5.9891,-1,0.21928582800641128,1.0828497270751887,0.6145917373998834,-1.4938793910213337
1,-0.7842,1.1267,5.5912,1,0.2458220961976726,2.2385964705543393,0.0,0.0
2,0.3012,0.5611,5.8234,1,0.4768466496254341,-0.471590209954933,0.0,0.0
3,0.7757,1.0648,8.0677,1,0.0,0.0,0.0,0.0
4,0.157,0.8028,6.304,1,0.0,0.0,0.0,0.0
5,-0.7014,1.0316,3.6005,1,0.0,0.0,0.0,0.0
6,0.3748,0.1536,6.1537,-1,0.0,0.0,0.0,0.0
7,-0.692,0.9404,4.4058,1,0.0,0.0,0.0,0.0
8,-1.397,0.7141,4.9263,-1,0.0,0.0,0.0,0.0
9,-1.8842,-0.2805,1.2548,-1,0.0,0.0,0.0,0.0
